=== campaign 1: sonnet (primary, 18Q) ===
runtime gold: n_verified=157 n_buckley=5
  Q1   C1  miss     cit=0(0bad) 4.6s  aggregation | judge: correct=False halluc_facts=0
  Q1   C2  miss     cit=0(0bad) 9.1s  aggregation | judge: correct=False halluc_facts=0
  Q1   C3  miss     cit=0(0bad) 5.2s  aggregation | judge: correct=False halluc_facts=0
  Q1   C4  acc      cit=0(0bad) 7.0s  aggregation | judge: correct=True halluc_facts=0
  Q2   C1  miss     cit=0(0bad) 8.2s  relational | judge: correct=False halluc_facts=0
  Q2   C2  miss     cit=0(0bad) 9.7s  relational | judge: correct=False halluc_facts=0
  Q2   C3  miss     cit=4(0bad) 6.6s  relational | judge: correct=False halluc_facts=1
  Q2   C4  acc      cit=0(0bad) 10.8s  relational | judge: correct=True halluc_facts=0
  Q3   C1  miss     cit=0(0bad) 6.9s  relational | judge: correct=False halluc_facts=0
  Q3   C2  miss     cit=0(0bad) 6.6s  relational | judge: correct=False halluc_facts=0
  Q3   C3  miss     cit=1(0bad) 8.1s  relational | judge: correct=False halluc_facts=0
  Q3   C4  acc      cit=0(0bad) 14.3s  relational | judge: correct=True halluc_facts=0
  Q4   C1  miss     cit=1(0bad) 11.0s  factual | judge: correct=False halluc_facts=1
  Q4   C2  miss     cit=1(0bad) 8.3s  factual | judge: correct=False halluc_facts=0
  Q4   C3  acc      cit=1(0bad) 4.7s  factual | judge: correct=True halluc_facts=0
  Q4   C4  acc      cit=1(0bad) 11.8s  factual | judge: correct=True halluc_facts=0
  Q5   C1  miss     cit=0(0bad) 4.3s  aggregation | judge: correct=False halluc_facts=0
  Q5   C2  miss     cit=0(0bad) 4.3s  aggregation | judge: correct=False halluc_facts=0
  Q5   C3  miss     cit=0(0bad) 4.7s  aggregation | judge: correct=False halluc_facts=0
  Q5   C4  acc      cit=0(0bad) 7.3s  aggregation | judge: correct=True halluc_facts=0
  Q6   C1  acc      cit=0(0bad) 29.1s  content | judge: correct=True halluc_facts=1
